agno, mes, dia, valor
2014,05,01,0.00000
2014,06,01,0.00000
2014,07,01,0.00000
2014,08,01,0.00000
2014,09,01,0.00000
2014,10,01,8.00000
2014,11,01,9.10000
2014,12,01,13.00000
2015,01,01,78.30000
2015,04,01,18.70000
2015,05,01,1.00000
2015,06,01,0.00000
2015,07,01,0.70000
2015,08,01,0.40000
2015,09,01,0.00000
2015,10,01,3.40000
2015,11,01,11.20000
2015,12,01,0.20000
2016,01,01,35.60000
2016,02,01,134.10000
2016,03,01,5.80000
2016,04,01,22.60000
2016,05,01,0.00000
2016,06,01,1.30000
2016,07,01,6.70000
2016,09,01,0.00000
2016,10,01,0.00000
2016,11,01,0.00000
2016,12,01,14.80000
2017,01,01,97.00000
2017,02,01,49.90000
2017,03,01,76.30000
2017,04,01,6.10000
2017,05,01,1.40000
2017,06,01,0.70000
2017,07,01,0.00000
2017,08,01,0.00000
2017,09,01,0.30000
2017,10,01,3.60000
2017,11,01,5.40000
2017,12,01,53.90000
2018,01,01,139.40000
2018,02,01,123.20000
2018,03,01,50.70000
2018,04,01,5.70000
2018,05,01,4.80000
2018,06,01,12.50000
2018,07,01,10.70000
2018,08,01,1.50000
2018,09,01,0.00000
2018,10,01,3.30000
2018,11,01,1.30000
2018,12,01,60.90000
2019,01,01,130.80000
2019,02,01,103.40000
2019,03,01,27.40000
2019,04,01,3.00000
2019,05,01,1.70000
2019,06,01,0.00000
2019,07,01,0.80000
2019,08,01,0.00000
2019,09,01,9.80000
2019,10,01,1.80000
2019,11,01,16.80000
2019,12,01,29.70000
2020,01,01,87.10000
2020,02,01,93.00000
2020,04,01,1.30000
2020,05,01,0.00000
2020,12,01,65.00000
2021,01,01,44.30000
2021,02,01,29.20000
2021,03,01,13.10000
2021,04,01,8.40000
2021,05,01,0.00000
2021,06,01,0.00000
2021,07,01,0.00000
2021,09,01,0.00000
2021,10,01,0.00000
2021,11,01,0.90000
2021,12,01,12.10000
2022,01,01,26.80000
2022,02,01,1.20000
2022,05,01,0.00000
2022,06,01,0.00000
2023,05,01,0.60000
2023,06,01,0.00000
2023,07,01,0.00000
2023,08,01,0.00000
2023,09,01,0.00000
2023,10,01,14.00000
2023,11,01,19.40000
2023,12,01,59.30000
2024,01,01,45.20000
2024,02,01,44.10000
2024,04,01,8.30000
2024,05,01,0.00000
2024,06,01,0.00000
2024,07,01,0.00000
2024,08,01,0.00000
2024,09,01,0.10000
2024,10,01,3.00000
2024,11,01,31.80000
2024,12,01,0.20000
